,0
BIYM39,0.0005246037851157708
LFTS11,0.7124739952218793
BPFR39,0.24923666966503008
BIYG39,7.546566945877426e-05
BFDL39,0.00028738845292823975
DEBB11,0.003369961723061854
BCHQ39,0.00021470033191207076
BSTP39,0.007075820324642456
BIDV39,0.0005656410316078157
CORN11,0.0003088824265442488
BSDV39,0.00011157369013862389
BHYS39,0.00044941414204482683
XFIX11,0.001685111214734321
BFNX39,0.00010615913857218342
BBOI11,0.00024698753371667773
NTNS11,0.002123230007989186
BIYC39,0.0003456123054978725
BCIR39,0.00018806100189275782
BFDA39,0.0006650006064390751
BGNO39,8.703543272651189e-05
BITB39,0.001012387522204209
BEWW39,0.00010614561201037903
SIVR39,4.058396761072599e-05
BSIZ39,7.65723599096667e-05
BFDN39,7.850616062144871e-05
BICL39,6.886009936634026e-05
BFCG39,6.611028417408458e-05
BQYL39,0.0001431369734643351
BILF39,0.00011054967690792893
IRFM11,0.0011632888791475104
B5MB11,0.0002129545253995583
TECB11,0.00012839874557844252
CMDB11,0.00014193372057494212
MATB11,4.553415427259311e-05
GURU11,3.07457753917989e-05
ECOO11,3.7227623989638844e-05
BBSD11,6.010761570275595e-05
FIND11,2.8138287688919898e-05
BXPO11,3.1048390646914195e-05
AGRI11,5.365177343563229e-05
SMAB11,1.7410257859283585e-05
ESGB11,2.820891761197118e-05
TRIG11,3.676610210367474e-05
DIVO11,8.683934552363585e-05
GOVE11,6.957114616916163e-05
ELAS11,5.9922348276751954e-05
IBOB11,6.960384548004628e-05
BBOV11,6.161021511589871e-05
BRAX11,3.6831909615741365e-05
PIBB11,3.3047275637965866e-05
XBOV11,7.260643552798481e-05
BOVX11,3.446482499293928e-05
BOVB11,3.6518755624148327e-05
BOVS11,8.397441887414345e-05
BOVA11,3.8611011945993037e-05
BOVV11,4.0507284223783435e-05
SCVB11,7.496220095386583e-05
BMMT11,0.00017526664309402133
SMAC11,6.883482889592367e-05
BDEF11,0.00012100908953531837
SMAL11,5.212325525764385e-05
BDOM11,0.00010074806507651243
ISUS11,0.0001403536141499258
BREW11,8.244517133728681e-05
BCIC11,7.454303229987967e-05
IMAB11,0.0019358891090398677
B5P211,0.0057904810769470235
IB5M11,0.0008765156861059467
BEFV39,4.500196149160733e-05
BEWP39,0.00011556582548738955
BIHI39,4.333825643379861e-05
BSRE39,4.497998213250326e-05
BCNY39,0.00012882066474094803
BEWC39,0.0001416828808517989
BVLU39,0.00010363692361406504
BEMV39,0.0001651081074514061
BFAV39,0.00020988162106176433
NFTS11,3.4943533589541906e-06
META11,4.284605953612987e-06
